#cP2022  6 12  0  0  0.00000000     192 ORBIT IGb14 HLM  IGS
## 2214      0.00000000   900.00000000 59742 0.0000000000000
+   32   G01G02G03G04G05G06G07G08G09G10G11G12G13G14G15G16G17
+        G18G19G20G21G22G23G24G25G26G27G28G29G30G31G32  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         4  3  3  4  3  3  3  3  3  4  4  4  3  4  3  4  4
++         4  4  4  4  3  4  3  3  3  3  4  3  3  3  3  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
%c G  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%f  1.2500000  1.025000000  0.00000000000  0.000000000000000
%f  0.0000000  0.000000000  0.00000000000  0.000000000000000
%i    0    0    0    0      0      0      0      0         0
%i    0    0    0    0      0      0      0      0         0
/* ULTRA ORBIT COMBINATION 22141_00 (59743.000) FROM:       
/* cou emu esu gfu siu usu whu                              
/* REFERENCED TO emu CLOCK AND TO WEIGHTED MEAN POLE:       
/* PCV:IGS14_2196 OL/AL:FES2004  NONE     Y  ORB:CMB CLK:CMB
*  2022  6 12  0  0  0.00000000
PG32 -16117.176676 -19496.856013  -8256.009592   -148.980761  5  9  9 196       
*  2022  6 12  0 30  0.00000000
PG01 -13847.090103  22427.988169    353.731857    343.227381  7  6  9 193       
PG02  17480.764838  -7709.457021 -17866.825785   -652.759024  9  7  6 201       
PG03 -13922.448239  12668.752694 -18802.488803   -275.623523  5  8  7 154       
PG04  -5720.201922  17640.144168 -18970.258312   -158.017781  7  6  7 195       
PG05  24940.395842  -5854.282524   7130.746086    -85.197876  2  8  5 137       
PG06  11746.925957   8774.248959 -22084.299437    339.951613  5  8  8 199       
PG07  -1923.435771  22589.267426  13827.460339    321.871121  7  6 10 112       
PG08 -11615.094976   9925.044929  21660.903129    -71.772645  9  8  5 206       
PG09   3833.903929  23315.975665 -12162.225297   -329.168874  6  3  8 175       
PG10 -16957.871074 -11677.092850  17089.270572   -451.283638  8  7  8 234       
PG11  18583.372108  -5004.013854 -18299.280161    -15.769074 14  8 11 218       
PG12  18003.688643 -10200.625838 -16857.739669   -229.716718  9  4  7 174       
PG13  15901.097339    576.291499  21142.207426    328.293039  8  9  7 194       
PG14  15252.483178  13075.560249  17420.961693   -111.309771  8  7  7 191       
PG15  10427.100162 -11986.335861  20841.531107    -53.958725  9  7  4 197       
PG16 -26645.002234   -788.239539   2585.628219   -508.265405  7  6  8 159       
PG17  13507.311557  22523.908189  -3321.405992    623.913017  3  6  8 177       
PG18   3267.952009 -22691.765637  13303.107686    144.742077 12  6 11 194       
PG19  16380.752438  17516.402069 -11911.833541    169.494147  7  8  9 163       
PG20  26047.971700   -704.407326  -4451.319129    512.189481  6  7  9 161       
PG21 -17007.438445  16786.286902  11445.962379    161.311658 11  6 12 156       
PG22 -17138.601645 -15334.584200 -13022.626802    274.284556  9  8  8 156       
PG23  -5563.221850 -14620.636943  21469.166465    -27.493643 10 10  6 196       
PG24  14439.401656 -21388.669370   4971.033570    222.729974  3  5  7 207       
PG25   2936.075006 -15331.327662 -21755.009924    336.240819  5  7  5 152       
PG26 -24959.019060  -4856.632055  -8296.388092    211.755701  3  6  5 154       
PG27 -17563.830622  -4034.419133  19427.516261    214.604990  7  8  5 179       
PG28  21832.691035  10119.094584  11486.629753    340.022947  8  9  7 209       
PG29  -2287.383924 -23592.132618 -11965.486210   -523.126052  8  4  7 128       
PG30   6260.669901  17107.039713  19334.185139   -531.089663  6  9  9 154       
PG31 -14145.700794  -6351.017700 -21716.980982   -181.431909  8  8  5 161       
PG32 -16286.746258 -20318.888559  -5565.131359   -148.989152  4  8  8 199       
*  2022  6 12  0 45  0.00000000
PG01 -13907.173050  22115.994145   3274.083747    343.220243  8  6  9 194       
PG02  16683.282857  -5607.928498 -19290.368520   -652.758688  9  6  5 200       
PG03 -15962.003226  12593.805059 -17138.861854   -275.634492  4  8  8 149       
