2798,411
2847,438
3465,1070
3374,1099
3321,1173
2998,1155
3324,2246
3279,2376
2987,2336
2803,2067
2695,2182
2449,2129
2209,1121
2196,1043
2409,3003
2038,2589
1746,2269
1588,2103
2122,2155
2338,2345
2712,2677
2774,2493
2118,1971
3242,2649
2862,2177
3446,2397
0,0
3926,2364
4200,2264
3752,2146
3596,1946
2417,1878
1430.276517,1393.797513
1490.057745,1837.174956
1355.549982,1772.411959
1290.786984,1343.979823
2162.596563,1184.563214
2247.286636,1274.235057
2137.687718,1637.904195
4608.645151,467.1884756
3163.932136,497.0790897
2371.830862,3227.088512
683.0111639,2564.513233
1903.544574,681.4045434
4459.192081,417.3707854
1519.948359,900.6023803
996.8626122,1727.576038
4528.936847,1961.719181
4783.007067,1852.120263
4439.265005,1717.612499
4170.249478,1812.266111
