2907,353
2869,387
3555,1107
3431,1131
3275,1212
2963,1160
3351,2356
3215,2498
2933,2410
2903,2098
2729,2202
2521,2116
2199,1058
0,0
1985,2993
1871,2513
1781,2158
1733,1976
2187,2094
2283,2314
2455,2718
2631,2538
2291,1909
3017,2784
2897,2224
3383,2552
3425,1755
3932,2603
4332,2535
3878,2327
3822,2083
0,0
1749.109734,1269.253288
1788.963886,1707.648961
1699.292044,1642.885964
1664.419661,1214.453829
0,0
0,0
2481.42978,1583.104736
0,0
4100.504711,487.1155516
1813.872731,3222.106743
692.974702,2285.534168
0,0
0,0
2312.049633,815.9123069
1440.240055,1553.214122
5365.874042,2250.661785
0,0
5311.074583,1966.70095
4982.277828,2021.50041
